Feature,Classifier,Accuracy,Normalization
mfccs_6_mean,XGB,0.08,Normalized
mfccs_7_mean,KNN Euclidean,0.05333333333333334,Scaled
mfccs_7_mean,KNN Cosine,0.07,Scaled
mfccs_7_mean,Random Forest,0.07666666666666666,Scaled
mfccs_7_mean,SVC,0.06,Scaled
mfccs_7_mean,XGB,0.05,Scaled
mfccs_7_mean,KNN Euclidean,0.05333333333333334,Normalized
mfccs_7_mean,KNN Cosine,0.07,Normalized
mfccs_7_mean,Random Forest,0.07666666666666666,Normalized
mfccs_7_mean,SVC,0.056666666666666664,Normalized
mfccs_7_mean,XGB,0.05,Normalized
mfccs_8_mean,KNN Euclidean,0.10666666666666667,Scaled
mfccs_8_mean,KNN Cosine,0.06333333333333334,Scaled
mfccs_8_mean,Random Forest,0.08666666666666667,Scaled
mfccs_8_mean,SVC,0.07666666666666666,Scaled
mfccs_8_mean,XGB,0.09333333333333334,Scaled
mfccs_8_mean,KNN Euclidean,0.10666666666666667,Normalized
mfccs_8_mean,KNN Cosine,0.06333333333333334,Normalized
mfccs_8_mean,Random Forest,0.08666666666666667,Normalized
mfccs_8_mean,SVC,0.06666666666666667,Normalized
mfccs_8_mean,XGB,0.09333333333333334,Normalized
mfccs_9_mean,KNN Euclidean,0.056666666666666664,Scaled
mfccs_9_mean,KNN Cosine,0.05,Scaled
mfccs_9_mean,Random Forest,0.06333333333333334,Scaled
mfccs_9_mean,SVC,0.07,Scaled
mfccs_9_mean,XGB,0.07,Scaled
mfccs_9_mean,KNN Euclidean,0.056666666666666664,Normalized
mfccs_9_mean,KNN Cosine,0.05,Normalized
mfccs_9_mean,Random Forest,0.06333333333333334,Normalized
mfccs_9_mean,SVC,0.06333333333333334,Normalized
mfccs_9_mean,XGB,0.07,Normalized
mfccs_10_mean,KNN Euclidean,0.07666666666666666,Scaled
mfccs_10_mean,KNN Cosine,0.07333333333333333,Scaled
mfccs_10_mean,Random Forest,0.06,Scaled
mfccs_10_mean,SVC,0.06666666666666667,Scaled
mfccs_10_mean,XGB,0.07666666666666666,Scaled
mfccs_10_mean,KNN Euclidean,0.07666666666666666,Normalized
mfccs_10_mean,KNN Cosine,0.07333333333333333,Normalized
mfccs_10_mean,Random Forest,0.06,Normalized
mfccs_10_mean,SVC,0.03666666666666667,Normalized
mfccs_10_mean,XGB,0.07666666666666666,Normalized
mfccs_11_mean,KNN Euclidean,0.09,Scaled
mfccs_11_mean,KNN Cosine,0.07666666666666666,Scaled
mfccs_11_mean,Random Forest,0.06333333333333334,Scaled
mfccs_11_mean,SVC,0.06333333333333334,Scaled
mfccs_11_mean,XGB,0.09,Scaled
mfccs_11_mean,KNN Euclidean,0.09,Normalized
mfccs_11_mean,KNN Cosine,0.07666666666666666,Normalized
mfccs_11_mean,Random Forest,0.06333333333333334,Normalized
mfccs_11_mean,SVC,0.06666666666666667,Normalized
mfccs_11_mean,XGB,0.09,Normalized
mfccs_12_mean,KNN Euclidean,0.08,Scaled
mfccs_12_mean,KNN Cosine,0.11333333333333333,Scaled
mfccs_12_mean,Random Forest,0.08,Scaled
mfccs_12_mean,SVC,0.07,Scaled
mfccs_12_mean,XGB,0.07333333333333333,Scaled
mfccs_12_mean,KNN Euclidean,0.08,Normalized
mfccs_12_mean,KNN Cosine,0.11333333333333333,Normalized
mfccs_12_mean,Random Forest,0.08,Normalized
mfccs_12_mean,SVC,0.07333333333333333,Normalized
mfccs_12_mean,XGB,0.07333333333333333,Normalized
mfccs_13_mean,KNN Euclidean,0.05333333333333334,Scaled
mfccs_13_mean,KNN Cosine,0.05,Scaled
mfccs_13_mean,Random Forest,0.07333333333333333,Scaled
mfccs_13_mean,SVC,0.07333333333333333,Scaled
mfccs_13_mean,XGB,0.06666666666666667,Scaled
mfccs_13_mean,KNN Euclidean,0.05333333333333334,Normalized
mfccs_13_mean,KNN Cosine,0.05,Normalized
mfccs_13_mean,Random Forest,0.07333333333333333,Normalized
mfccs_13_mean,SVC,0.05333333333333334,Normalized
mfccs_13_mean,XGB,0.06666666666666667,Normalized
mfccs_14_mean,KNN Euclidean,0.09333333333333334,Scaled
mfccs_14_mean,KNN Cosine,0.06,Scaled
mfccs_14_mean,Random Forest,0.10666666666666667,Scaled
mfccs_14_mean,SVC,0.10333333333333333,Scaled
mfccs_14_mean,XGB,0.13,Scaled
mfccs_14_mean,KNN Euclidean,0.09333333333333334,Normalized
mfccs_14_mean,KNN Cosine,0.06,Normalized
mfccs_14_mean,Random Forest,0.10666666666666667,Normalized
mfccs_14_mean,SVC,0.03333333333333333,Normalized
mfccs_14_mean,XGB,0.13,Normalized
mfccs_15_mean,KNN Euclidean,0.08,Scaled
mfccs_15_mean,KNN Cosine,0.04666666666666667,Scaled
mfccs_15_mean,Random Forest,0.08666666666666667,Scaled
mfccs_15_mean,SVC,0.05333333333333334,Scaled
mfccs_15_mean,XGB,0.07666666666666666,Scaled
mfccs_15_mean,KNN Euclidean,0.08,Normalized
mfccs_15_mean,KNN Cosine,0.04666666666666667,Normalized
mfccs_15_mean,Random Forest,0.08666666666666667,Normalized
mfccs_15_mean,SVC,0.05333333333333334,Normalized
mfccs_15_mean,XGB,0.07666666666666666,Normalized
mfccs_16_mean,KNN Euclidean,0.07333333333333333,Scaled
mfccs_16_mean,KNN Cosine,0.04666666666666667,Scaled
mfccs_16_mean,Random Forest,0.1,Scaled
mfccs_16_mean,SVC,0.08,Scaled
mfccs_16_mean,XGB,0.07666666666666666,Scaled
mfccs_16_mean,KNN Euclidean,0.07333333333333333,Normalized
